127.0.0.1 - - [05/Apr/2016:19:48:01 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:48:02 -0500] "GET /DrinkResponsibly/ HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:48:02 -0500] "GET /DrinkResponsibly/css/bootstrap.css HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:48:02 -0500] "GET /DrinkResponsibly/css/style.css HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:48:07 -0500] "GET /DrinkResponsibly/form HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:48:07 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:48:15 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:48:15 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:48:49 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 641
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:48:49 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:49:02 -0500] "GET /DrinkResponsibly/form HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:49:02 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:49:08 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:49:08 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:52:35 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:52:35 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:52:38 -0500] "POST /DrinkResponsibly/calculate-drink-amount HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:52:38 -0500] "GET /DrinkResponsibly/bootstrap/css/bootstrap.css HTTP/1.1" 200 1819
